ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE
49543,1989,7681,Wielka Brytania (teatr polski za granicą) - repertuar,Żołnierz królowej Madagaskaru,,490,Teatr Nowy,,,Reż. Jerzy Wróblewski,
23396,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",Kłamczucha. Prem. 1988,,879,Teatr Zagłębia,Tł. Hanna Pieczarkowska. Reż. Jerzy Połoński,,,
23397,1988,449,"Teatry od 1945 r. (omówienia, repertuar)","Dawno, dawno, sto lat temu. Prem. 1988",,382,Teatr Polski,Reż. Marcel Kochańczyk,,,
23398,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",Emigranci. Prem. 1988,,879,Teatr Zagłębia,Reż. Janusz Ostrowski,,,
23400,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",Masz ochotę na miłość?. Prem. 1988,,879,Teatr Zagłębia,Reż. Mieczysław Górkiewicz,,,
23403,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",Opowiem wam o Esther. Prem. 1988,,2142,"Teatr ""Krypta""",Adapt. scen. i reż.: Witold Kopeć,,,	
23402,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",Calineczka. Prem. 1988,,879,Teatr Zagłębia,Reż. Jacek Medwecki,,Wg baśni Hansa Christiana Andersena,
23404,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",Gry sportowe. Prem. 1988,,2142,"Teatr ""Krypta""",Reż. Zbigniew Chrzanowski,,,
23405,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",Ostatnia noc Sokratesa. Prem. 1988,,382,Teatr Polski,Tł. Liliana Bardijewska. Reż. Zbigniew Mamont,,,
23406,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",Idiota. Prem. 1988,,382,Teatr Polski,Tł. Jerzy Jędrzejewicz. Adapt. Stanisław Brejdygant. Reż. Andrzej May,,,
23407,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",Księżniczka Turandot. Prem. 1988,,880,Teatr Polski*,Tł. Joanna Czaplińska. Reż. Frantisek Hromada,,,
30226,1989,449,"Teatry od 1945 r. (omówienia, repertuar)",Sztuka konwersacji. Prem. 1989,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),Reż. Wiesław Nowicki,,,
