ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE
17330,1988,231,Spektakle fabularne TV,Dom kobiet,,,,,,[Emisja 1987],
17334,1988,231,Spektakle fabularne TV,Księżyc świeci nieszczęśliwym,,,,,,"Tł. Krystyna Tarnowska. Reż. Jan Englert. I, 5 XII 1988, 124'",
17336,1988,231,Spektakle fabularne TV,Aszantka,,,,,,[Emisja 1987],
17339,1988,231,Spektakle fabularne TV,Dziewięćdziesiąty trzeci,,,,,,"Reż. Edward Wotaszek. I, 25 I 1988, 95'",
17342,1988,231,Spektakle fabularne TV,Głupi Jakub,,,,,,"Reż. Michał Kwieciński. I, 21 XI 1988, 104'",
17344,1988,231,Spektakle fabularne TV,Odwiedziny o zmroku,,,,,,"Rez. Maciej Wojtyszko. I, 2 IX 1988, 29'",
17346,1988,231,Spektakle fabularne TV,W małym dworku,,,,,,[Emisja 1987],
17348,1988,231,Spektakle fabularne TV,Odejście głodomora,,,,,,"Reż. Jan Różewicz. II, 1 XII 1988, 80'",
17349,1988,231,Spektakle fabularne TV,O cudownym Narodzeniu Pańskim,,,,,,"Reż. Jan Skotnicki. I, 4 I 1988, 78'",
17352,1988,231,Spektakle fabularne TV,Emeryt,,,,,,"Reż. Waldemar Śmigasiewicz. II, 19 V 1988, 55'",
17355,1988,231,Spektakle fabularne TV,Hamlet,,,,,,"I, 27 VIII 1988, 120'. Prem. 1974",
17357,1988,231,Spektakle fabularne TV,Makbet,,,,,,"Tł. Jerzy Stanisław Sito. Reż. Krzysztof Nazar. I, 28 III 1988, 143'",
17360,1988,231,Spektakle fabularne TV,Król Edyp,,,,,,"I, 25 VI 1988, 78'. Prem. 1975",
17364,1988,231,Spektakle fabularne TV,Replika,,,,,,"Reż. Józef Szajna. II, 23 III 1988, 52'",
17366,1988,231,Spektakle fabularne TV,Chłopiec latający,,,,,,"Reż. Marek Okopiński. I, 2 V 1988, 53'",
17370,1988,231,Spektakle fabularne TV,Papierowy kochanek,,,,,,"Reż. Ignacy Gogolewski. I, 16 IX 1988, 78'",
17371,1988,231,Spektakle fabularne TV,Pasjans,,,,,,[Emisja 1987],
17373,1988,231,Spektakle fabularne TV,Bezimienne dzieło,,,,,,"Rez. Jan Englert. II, 22 IX 1988, 103'",
17376,1988,231,Spektakle fabularne TV,Szalona lokomotywa,,,,,,"Reż. Jacek Bunsch. II, 5 V 1988, 63'",
17378,1988,231,Spektakle fabularne TV,Noc listopadowa,,,,,,"I, 14 III 1988, 107'. Prem. 1978",
17381,1988,231,Spektakle fabularne TV,Wesele,,,,,,"I, 12 IX 1988, 115'. Prem. 1981",
17382,1988,231,Spektakle fabularne TV,Tamten,,,,,,"Reż. Maciej Prus. I, 14 XI 1988, 94'",
17384,1988,231,Spektakle fabularne TV,Żabusia,,,,,,"Reż. Olga Lipińska. I, 26 XII 1988, 74'",
15862,1988,231,Spektakle fabularne TV,Maestro,,,,,,Reż. Marek Nowicki. [W real.],
15865,1988,231,Spektakle fabularne TV,Mała syrena,,,,,,"Tł. Stefania Beylin. Reż. Andrzej May. I, 22 V 1988, 52'",
15870,1988,231,Spektakle fabularne TV,Popiół i diament,,,,,,"I, 3 IX 1988, 119'. Prem. 1974.",
15880,1988,231,Spektakle fabularne TV,Prometeusz,,,,,,[Emisja 1987],
15883,1988,231,Spektakle fabularne TV,Teraz na ciebie zagłada,,,,,,"Reż. Tadeusz Kijański. II, 20 I 1988, 79'",
15885,1989,231,Spektakle fabularne TV,"Ej Joe, Trio widm, Jak obłoki, Nacht und Traueme",,,,,,"Tł. i reż. Antoni Libera. II, 15 XII 1988, 74'",
15958,1988,231,Spektakle fabularne TV,Bez kurtyny,,,,,,"Tł. Kamilla Klein-Majdecka, Józef Paszkowski. Reż. Zdzisław Wardejn. I, 30 XII 1988, 79'",
15959,1988,231,Spektakle fabularne TV,Po próbie,,,,,,"Tł. Zygmunt Łanowski. Reż. Jan Maciejowski. II, 17 XI 1988, 76'",
15960,1988,231,Spektakle fabularne TV,Od ojca do syna - listy. Wybór poezji,,,,,,"Reż. Aleksander Bardini. I, 21 XI 1988, 22'",
15965,1988,231,Spektakle fabularne TV,"Zapisz to, Miron",,,,,,"Adapt. Ryszard Major. II, 10 II 1988, 75'",[Przeniesienie z Teatru Powszechnego w Warszawie]
15966,1989,231,Spektakle fabularne TV,Rachunek błędów,,,,,,Reż. Andrzej Chrzanowski. [Emisja 1988],
15967,1988,231,Spektakle fabularne TV,Tym razem żegnaj na zawsze. (O Marii Wisnowskiej),,,,,,"Cz. 1: Aktorka, cz. 2: Proces.  Reż. Barbara Borys-Damięcka. II, 9 III 1988, 124'",
15968,1988,231,Spektakle fabularne TV,Dekameron,,,,,,[Emisja 1987],
15969,1988,231,Spektakle fabularne TV,Święty las,,,,,,"Adapt. pt. ""Brodway, mój Brodway"". Reż. Tomasz Wiszniewski. II, 8 IX 1988, 59'",
15970,1988,231,Spektakle fabularne TV,Przy kominku (Widowisko do muzyki S. Moniuszki),,,,,," Reż. Maria Fołtyn. II, 5 V 1988, 66'",[Przeniesienie z Teatru Wielkiego w Warszawie]
15972,1988,231,Spektakle fabularne TV,Morfina,,,,,,"Tł. Ałła Sarachanowa. Reż. Krzysztof Babicki. I, 21 III 1988, 70'",
15973,1988,231,Spektakle fabularne TV,Powieść teatralna,,,,,,"I, 18 III 1988, 110'. Prem. 1987",
15975,1988,231,Spektakle fabularne TV,Przedstawienie Hamleta we wsi Głucha Dolna,,,,,,"Tł. Stanisław Kaszyński. Reż. Olga Lipińska. I, 8 VIII 1988, 114'",
