"ZA_ZAPIS_ID","ZA_RO_ROK","ZA_DZ_DZIAL1_ID","DZ_NAZWA","ZA_RZ_RODZAJ1_ID","RZ_NAZWA","ZA_TYTUL","ZA_TYTUL_CALOSCI","ZA_OPIS_CALOSCI","ZA_TYTUL_ORYGINALU","ZA_TE_TEATR_ID","TE_NAZWA","ZA_OPIS_WSPOLTWORCOW","ZA_JEZYK_ORYGINALU","ZA_TYTUL_ADAPT_DZIELA","ZA_NAZWA_ADAPT_DZIELA","ZA_OPIS_ADAPT_DZIELA","ZA_ADNOTACJE"
49543,1989,7681,Wielka Brytania (teatr polski za granicą) - repertuar,291,sztuka teatralna,Żołnierz królowej Madagaskaru,,,,490,Teatr Nowy,,,,,Reż. Jerzy Wróblewski,
23396,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Kłamczucha. Prem. 1988,,,,879,Teatr Zagłębia,Tł. Hanna Pieczarkowska. Reż. Jerzy Połoński,,,,,
23397,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,"Dawno, dawno, sto lat temu. Prem. 1988",,,,382,Teatr Polski,Reż. Marcel Kochańczyk,,,,,
23398,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Emigranci. Prem. 1988,,,,879,Teatr Zagłębia,Reż. Janusz Ostrowski,,,,,
23400,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Masz ochotę na miłość?. Prem. 1988,,,,879,Teatr Zagłębia,Reż. Mieczysław Górkiewicz,,,,,
23403,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Opowiem wam o Esther. Prem. 1988,,,,2142,"Teatr ""Krypta""",Adapt. scen. i reż.: Witold Kopeć,,,,,	
23402,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Calineczka. Prem. 1988,,,,879,Teatr Zagłębia,Reż. Jacek Medwecki,,,,Wg baśni Hansa Christiana Andersena,
23404,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Gry sportowe. Prem. 1988,,,,2142,"Teatr ""Krypta""",Reż. Zbigniew Chrzanowski,,,,,
23405,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Ostatnia noc Sokratesa. Prem. 1988,,,,382,Teatr Polski,Tł. Liliana Bardijewska. Reż. Zbigniew Mamont,,,,,
23406,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Idiota. Prem. 1988,,,,382,Teatr Polski,Tł. Jerzy Jędrzejewicz. Adapt. Stanisław Brejdygant. Reż. Andrzej May,,,,,
23407,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Księżniczka Turandot. Prem. 1988,,,,880,Teatr Polski*,Tł. Joanna Czaplińska. Reż. Frantisek Hromada,,,,,
30226,1989,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Sztuka konwersacji. Prem. 1989,,,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),Reż. Wiesław Nowicki,,,,,
19520,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Pasjans - Bardzo komiczna tragedia z happyendem. Prem. 1988,,,,382,Teatr Polski,Reż. aut.,,,,,
10485,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Apelacja. Prem. 1988,,,,21,Teatr Dramatyczny im. A. Węgierki,Reż. Andrzej Jakimiec,,,W sądzie,,
19563,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Z palca wyssane. Prem. 1988,,,,907,Teatr Współczesny im. E. Wiercińskiego,Adapt. i reż.: Joanna Dobrzańska,,,,Sc. na podstawie utworów Jana Brzechwy,
11347,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Pokojówki. Prem. 1988,,,,21,Teatr Dramatyczny im. A. Węgierki,Tł. Jan Błoński. Reż. Andrzej Jakimiec,,,,																																																						,
11365,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Operetka. Prem. 1988,,,,21,Teatr Dramatyczny im. A. Węgierki,Reż. Leszek Czarnota,,,,,
11370,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Bal manekinów. Prem. 1988,,,,21,Teatr Dramatyczny im. A. Węgierki,Oprac. tekstu i reż.: Adrzej Jakimiec,,,,,
11377,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Pochówek. Prem. 1988,,,,21,Teatr Dramatyczny im. A. Węgierki,Adapt. i reż.: Andrzej Jakimiec,,,List z Ameryki,,
11390,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Moniza Clavier. Prem. 1988,,,,21,Teatr Dramatyczny im. A. Węgierki,Adapt. i opieka reż.: Andrzej Jakimiec,,,,				,
11394,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Na pełnym morzu. Prem. 1988,,,,21,Teatr Dramatyczny im. A. Węgierki,Reż  Andrzej Jakimiec,,,,,
11397,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Rzeźnia. Prem. 1988,,,,21,Teatr Dramatyczny im. A. Węgierki,Reż. Wojciech Szelachowski,,,,,
11400,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Dom kobiet. Prem. 1988,,,,21,Teatr Dramatyczny im. A. Węgierki,Reż. Michał Pawlicki,,,,,
11423,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Mały książę. Prem. 1988,,,,21,Teatr Dramatyczny im. A. Węgierki,Reż. Barbara Łukaszewska. Opieka reż.: Andrzej Jakimiec,,,,,
11713,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Mąż i żona. Prem. 1988,,,,41,Teatr Polski,Reż. Aleksandra Górska,,,,,
11717,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Bez oręża. Prem. 1988,,,,41,Teatr Polski,Adapt. Stanisław Jastrzębski. Insc. i reż.: Jan Sycz,,,,,
11731,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Zielony gil. Prem. 1988,,,,41,Teatr Polski,Tł. i adapt.: Julian Tuwim. Reż. Wojciech Brzozowicz,,,,,
11733,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Cyklop. Prem. 1988,,,,41,Teatr Polski,Reż. Wacław Jankowski,,,,,
11735,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Lampka oliwna. Prem. 1988,,,,41,Teatr Polski,Reż. Konrad Lesisz,,,,,
11740,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Trans-Atlantyk - Zaproszenie. Prem. 1988,,,,22,Teatr Drzymały,,,,,Monodram,
11750,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Mistrz i Małgorzata. Prem. 1988,,,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),"Tł. Irena Lewandowska, Witold Dąbrowski. Adapt. Andrzej Maria Marczewski",,,,,
11771,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Trzy białe strzały. Prem. 1988,,,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),Tł. Stanisław Gawłowski. Reż. Marek Mokrowiecki,,,,,
11781,1988,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Madame de Sade. Prem. 1988,,,,42,Teatr Polski im. Hieronima Konieczki (do  2000: Teatr Polski),Reż. Jarosław Kuszewski,,,,,
